Image Name,Match X (px),Match Y (px),Metadata X (um),Metadata Y (um),Metadata X (px),Metadata Y (px),Distance (px),Match Confidence,Template Method
EDX1-235_1.tiff,3186.0,1926.0,10423.3,8799.05,4571619.910177025,-478138.08387280867,4593587.9,0.984,TM_CCORR_NORMED
EDX1-235_2.tiff,3613.0,4065.0,10419.9,8783.33,4561737.674107157,-432447.2747497674,4578978.4,0.991,TM_CCORR_NORMED
EDX1-235_3.tiff,3615.0,4065.0,10442.0,8784.15,4625972.208561309,-434830.6375666174,4643147.2,0.990,TM_CCORR_NORMED
EDX1-235_4.tiff,1042.0,1206.0,8428.23,9847.91,-1227130.8886213035,-3526691.6498266943,3735568.3,0.992,TM_CCORR_NORMED
EDX1-235_5.tiff,1880.0,1215.0,8430.98,9847.84,-1219137.9035647917,-3526488.192025257,3733038.2,0.985,TM_CCORR_NORMED
EDX1-235_6.tiff,3405.0,2052.0,2677.97,10882.4,-17940491.70718811,-6533478.235685277,19097030.8,0.947,TM_CCORR_NORMED
EDX1-235_7.tiff,2244.0,4077.0,2732.89,10901.8,-17780864.529259514,-6589865.112083943,18966260.1,0.985,TM_CCORR_NORMED
EDX1-235_8.tiff,3079.0,4077.0,2732.89,10901.8,-17780864.529259514,-6589865.112083943,18967043.0,0.973,TM_CCORR_NORMED
EDX1-235_9.tiff,3211.0,4077.0,2734.19,10897.0,-17777086.027232796,-6575913.719985305,18958777.4,0.977,TM_CCORR_NORMED
EDX1-235_10.tiff,990.0,3783.0,2986.44,10853.2,-17043911.307049107,-6448607.267085225,18225312.1,0.875,TM_CCORR_NORMED
EDX1-235_11.tiff,3603.0,2938.0,10990.800000000001,7404.1,6221081.371839053,3576339.9177931594,7171209.0,0.942,TM_CCOEFF_NORMED
EDX1-235_12.tiff,375.0,2364.0,10942.699999999999,7384.46,6081276.7968506,3633424.363796759,7082511.3,0.929,TM_CCORR_NORMED
